path,isim_ae,iou_ae,isim_pose,iou_pose,isim_car_and_pose,iou_car_and_pose,isim_car_and_pose_and_background,iou_car_and_pose_and_background
santa-clara-square-rooftop/IMG_2826.JPEG,0.6884513,0.512036642522369,0.80224353,0.7676443015936788,0.5830673,0.0,0.55649817,0.0
avana-sunnyvale/IMG_1252.JPEG,0.63150126,0.3241142757902049,0.6869038,0.891285755012829,0.53093314,0.0,0.5846209,0.0
santa-clara-square-rooftop/IMG_2589.JPEG,0.6348842,0.4495569350329337,0.73405266,0.5357728832098643,0.5202134,0.0,0.5115008,0.0
avana-sunnyvale/IMG_0905.JPEG,0.66089916,0.30672666086890765,0.8054308,0.8900189035916825,0.51761514,0.0,0.55990046,0.0
avana-sunnyvale/IMG_0794.JPEG,0.6671201,0.3654228211108232,0.66297203,0.0,0.50686663,0.0,0.58023083,0.0
avana-sunnyvale/IMG_0971.JPEG,0.7079139,0.3537696335078534,0.60881525,0.0,0.5580723,0.0,0.61340195,0.0
santa-clara-square-rooftop/IMG_2874.JPEG,0.73219264,0.5047705588368924,0.609232,0.0,0.55054986,0.0,0.65118223,0.0
santa-clara-square-rooftop/IMG_2734.JPEG,0.74573916,0.637841126368851,0.55939,0.0,0.5783999,0.0,0.60542166,0.0
avana-sunnyvale/IMG_1428.JPEG,0.65001345,0.4686075061381971,0.5833165,0.0,0.5531743,0.0,0.59188396,0.0
avana-sunnyvale/IMG_0773.JPEG,0.69443524,0.3066884782689519,0.7354783,0.8244295857172399,0.5177931,0.0,0.58041364,0.0
santa-clara-square-rooftop/IMG_2583.JPEG,0.6793935,0.507859540683114,0.68152,0.0,0.58237666,0.0,0.5559872,0.0
avana-sunnyvale/IMG_1321.JPEG,0.6906588,0.3860385070452834,0.7204725,0.0,0.534782,0.0,0.6066154,0.0
avana-sunnyvale/IMG_1380.JPEG,0.6555544,0.32655223564314473,0.71730864,0.0,0.55778676,0.0,0.61740243,0.0
avana-sunnyvale/IMG_1420.JPEG,0.6522823,0.3647936987681458,0.7992555,0.9184532157884192,0.5259998,0.0,0.57249445,0.0
avana-sunnyvale/IMG_0515.JPEG,0.71201193,0.38635278062094847,0.7040493,0.8693946782571822,0.51074666,0.0,0.5934537,0.5300444803881925
avana-sunnyvale/IMG_0936.JPEG,0.7285882,0.4096627408993576,0.58603066,0.0,0.6149002,0.0,0.6089854,0.0
